POZIOM;REGION;WOJ;PODREG;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
1;1;;;;;;CENTRALNY;region;2017-01-01
1;2;;;;;;POŁUDNIOWY;region;2017-01-01
1;3;;;;;;WSCHODNI;region;2017-01-01
1;4;;;;;;PÓŁNOCNO-ZACHODNI;region;2017-01-01
1;5;;;;;;POŁUDNIOWO-ZACHODNI;region;2017-01-01
1;6;;;;;;PÓŁNOCNY;region;2017-01-01
2;1;10;;;;;ŁÓDZKIE;województwo;2017-01-01
2;1;14;;;;;MAZOWIECKIE;województwo;2017-01-01
2;2;12;;;;;MAŁOPOLSKIE;województwo;2017-01-01
2;2;24;;;;;ŚLĄSKIE;województwo;2017-01-01
2;3;06;;;;;LUBELSKIE;województwo;2017-01-01
2;3;18;;;;;PODKARPACKIE;województwo;2017-01-01
2;3;20;;;;;PODLASKIE;województwo;2017-01-01
2;3;26;;;;;ŚWIĘTOKRZYSKIE;województwo;2017-01-01
2;4;08;;;;;LUBUSKIE;województwo;2017-01-01
2;4;30;;;;;WIELKOPOLSKIE;województwo;2017-01-01
2;4;32;;;;;ZACHODNIOPOMORSKIE;województwo;2017-01-01
2;5;02;;;;;DOLNOŚLĄSKIE;województwo;2017-01-01
2;5;16;;;;;OPOLSKIE;województwo;2017-01-01
2;6;04;;;;;KUJAWSKO-POMORSKIE;województwo;2017-01-01
2;6;22;;;;;POMORSKIE;województwo;2017-01-01
2;6;28;;;;;WARMIŃSKO-MAZURSKIE;województwo;2017-01-01
3;1;10;15;;;;ŁÓDZKI;podregion;2017-01-01
3;1;10;16;;;;ŁÓDŹ;podregion;2017-01-01
3;1;10;17;;;;PIOTRKOWSKI;podregion;2017-01-01
3;1;10;18;;;;SIERADZKI;podregion;2017-01-01
3;1;10;19;;;;SKIERNIEWICKI;podregion;2017-01-01
3;1;14;25;;;;CIECHANOWSKI;podregion;2017-01-01
3;1;14;26;;;;OSTROŁĘCKI;podregion;2017-01-01
3;1;14;27;;;;RADOMSKI;podregion;2017-01-01
3;1;14;28;;;;WARSZAWA;podregion;2017-01-01
3;1;14;29;;;;WARSZAWSKI WSCHODNI;podregion;2017-01-01
3;1;14;30;;;;WARSZAWSKI ZACHODNI;podregion;2017-01-01
3;1;14;70;;;;PŁOCKI;podregion;2017-01-01
3;1;14;71;;;;SIEDLECKI;podregion;2017-01-01
3;2;12;20;;;;KRAKOWSKI;podregion;2017-01-01
3;2;12;21;;;;KRAKÓW;podregion;2017-01-01
3;2;12;22;;;;NOWOSĄDECKI;podregion;2017-01-01
3;2;12;23;;;;OŚWIĘCIMSKI;podregion;2017-01-01
3;2;12;24;;;;TARNOWSKI;podregion;2017-01-01
3;2;12;69;;;;NOWOTARSKI;podregion;2017-01-01
3;2;24;44;;;;BIELSKI;podregion;2017-01-01
3;2;24;45;;;;BYTOMSKI;podregion;2017-01-01
3;2;24;46;;;;CZĘSTOCHOWSKI;podregion;2017-01-01
3;2;24;47;;;;GLIWICKI;podregion;2017-01-01
3;2;24;48;;;;KATOWICKI;podregion;2017-01-01
3;2;24;49;;;;RYBNICKI;podregion;2017-01-01
3;2;24;50;;;;SOSNOWIECKI;podregion;2017-01-01
3;2;24;51;;;;TYSKI;podregion;2017-01-01
3;3;06;09;;;;BIALSKI;podregion;2017-01-01
3;3;06;10;;;;CHEŁMSKO-ZAMOJSKI;podregion;2017-01-01
3;3;06;11;;;;LUBELSKI;podregion;2017-01-01
3;3;06;12;;;;PUŁAWSKI;podregion;2017-01-01
3;3;18;33;;;;KROŚNIEŃSKI;podregion;2017-01-01
3;3;18;34;;;;PRZEMYSKI;podregion;2017-01-01
3;3;18;35;;;;RZESZOWSKI;podregion;2017-01-01
3;3;18;36;;;;TARNOBRZESKI;podregion;2017-01-01
3;3;20;37;;;;BIAŁOSTOCKI;podregion;2017-01-01
3;3;20;38;;;;ŁOMŻYŃSKI;podregion;2017-01-01
3;3;20;39;;;;SUWALSKI;podregion;2017-01-01
3;3;26;52;;;;KIELECKI;podregion;2017-01-01
3;3;26;53;;;;SANDOMIERSKO-JĘDRZEJOWSKI;podregion;2017-01-01
3;4;08;13;;;;GORZOWSKI;podregion;2017-01-01
3;4;08;14;;;;ZIELONOGÓRSKI;podregion;2017-01-01
3;4;30;57;;;;KALISKI;podregion;2017-01-01
3;4;30;58;;;;KONIŃSKI;podregion;2017-01-01
3;4;30;59;;;;LESZCZYŃSKI;podregion;2017-01-01
3;4;30;60;;;;PILSKI;podregion;2017-01-01
3;4;30;61;;;;POZNAŃSKI;podregion;2017-01-01
3;4;30;62;;;;POZNAŃ;podregion;2017-01-01
3;4;32;63;;;;KOSZALIŃSKI;podregion;2017-01-01
3;4;32;64;;;;SZCZECINECKO-PYRZYCKI;podregion;2017-01-01
3;4;32;65;;;;SZCZECIN;podregion;2017-01-01
3;4;32;66;;;;SZCZECIŃSKI;podregion;2017-01-01
3;5;02;01;;;;JELENIOGÓRSKI;podregion;2017-01-01
3;5;02;02;;;;LEGNICKO-GŁOGOWSKI;podregion;2017-01-01
3;5;02;03;;;;WAŁBRZYSKI;podregion;2017-01-01
3;5;02;04;;;;WROCŁAWSKI;podregion;2017-01-01
3;5;02;05;;;;WROCŁAW;podregion;2017-01-01
3;5;16;31;;;;NYSKI;podregion;2017-01-01
3;5;16;32;;;;OPOLSKI;podregion;2017-01-01
3;6;04;06;;;;BYDGOSKO-TORUŃSKI;podregion;2017-01-01
3;6;04;07;;;;GRUDZIĄDZKI;podregion;2017-01-01
3;6;04;08;;;;WŁOCŁAWSKI;podregion;2017-01-01
3;6;04;67;;;;INOWROCŁAWSKI;podregion;2017-01-01
3;6;04;68;;;;ŚWIECKI;podregion;2017-01-01
3;6;22;40;;;;GDAŃSKI;podregion;2017-01-01
3;6;22;41;;;;SŁUPSKI;podregion;2017-01-01
3;6;22;42;;;;STAROGARDZKI;podregion;2017-01-01
3;6;22;43;;;;TRÓJMIEJSKI;podregion;2017-01-01
3;6;22;72;;;;CHOJNICKI;podregion;2017-01-01
3;6;28;54;;;;ELBLĄSKI;podregion;2017-01-01
3;6;28;55;;;;EŁCKI;podregion;2017-01-01
3;6;28;56;;;;OLSZTYŃSKI;podregion;2017-01-01
4;1;10;15;06;;;łódzki wschodni;powiat;2017-01-01
4;1;10;15;08;;;pabianicki;powiat;2017-01-01
4;1;10;15;20;;;zgierski;powiat;2017-01-01
4;1;10;15;21;;;brzeziński;powiat;2017-01-01
4;1;10;16;61;;;Łódź;miasto na prawach powiatu;2017-01-01
4;1;10;17;01;;;bełchatowski;powiat;2017-01-01
4;1;10;17;07;;;opoczyński;powiat;2017-01-01
4;1;10;17;10;;;piotrkowski;powiat;2017-01-01
4;1;10;17;12;;;radomszczański;powiat;2017-01-01
4;1;10;17;16;;;tomaszowski;powiat;2017-01-01
4;1;10;17;62;;;Piotrków Trybunalski;miasto na prawach powiatu;2017-01-01
4;1;10;18;03;;;łaski;powiat;2017-01-01
4;1;10;18;09;;;pajęczański;powiat;2017-01-01
4;1;10;18;11;;;poddębicki;powiat;2017-01-01
4;1;10;18;14;;;sieradzki;powiat;2017-01-01
4;1;10;18;17;;;wieluński;powiat;2017-01-01
4;1;10;18;18;;;wieruszowski;powiat;2017-01-01
4;1;10;18;19;;;zduńskowolski;powiat;2017-01-01
4;1;10;19;02;;;kutnowski;powiat;2017-01-01
