IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARIA,KOBIETA,1733194
ANNA,KOBIETA,977096
BARBARA,KOBIETA,461020
TERESA,KOBIETA,449419
KATARZYNA,KOBIETA,442903
EWA,KOBIETA,401929
ELŻBIETA,KOBIETA,357957
MAŁGORZATA,KOBIETA,353563
ZOFIA,KOBIETA,340921
MAGDALENA,KOBIETA,317452
AGNIESZKA,KOBIETA,295334
KRYSTYNA,KOBIETA,270289
JADWIGA,KOBIETA,258201
JANINA,KOBIETA,228429
JOANNA,KOBIETA,212621
HELENA,KOBIETA,212541
STANISŁAWA,KOBIETA,179477
MONIKA,KOBIETA,169134
MARTA,KOBIETA,154389
IRENA,KOBIETA,153471
DANUTA,KOBIETA,153209
DOROTA,KOBIETA,140470
MARIANNA,KOBIETA,130231
JOLANTA,KOBIETA,126967
WERONIKA,KOBIETA,126640
ALEKSANDRA,KOBIETA,123182
BEATA,KOBIETA,123102
JÓZEFA,KOBIETA,122646
KAZIMIERA,KOBIETA,121894
KAROLINA,KOBIETA,116703
URSZULA,KOBIETA,116688
HALINA,KOBIETA,111549
WIKTORIA,KOBIETA,109691
GRAŻYNA,KOBIETA,106759
JULIA,KOBIETA,92584
ALICJA,KOBIETA,92517
BOŻENA,KOBIETA,88409
IWONA,KOBIETA,86406
WANDA,KOBIETA,85712
AGATA,KOBIETA,85288
IZABELA,KOBIETA,82734
NATALIA,KOBIETA,81433
JUSTYNA,KOBIETA,76027
SYLWIA,KOBIETA,74324
PAULINA,KOBIETA,72906
STEFANIA,KOBIETA,65002
ŁUCJA,KOBIETA,64179
PATRYCJA,KOBIETA,62169
RENATA,KOBIETA,61368
KINGA,KOBIETA,59178
ANTONINA,KOBIETA,59099
WŁADYSŁAWA,KOBIETA,55328
EMILIA,KOBIETA,55143
WIESŁAWA,KOBIETA,50299
DOMINIKA,KOBIETA,48523
ANIELA,KOBIETA,48409
FRANCISZKA,KOBIETA,47918
ZUZANNA,KOBIETA,47124
GABRIELA,KOBIETA,46048
LUCYNA,KOBIETA,44612
MARZENA,KOBIETA,42947
GENOWEFA,KOBIETA,42908
BRONISŁAWA,KOBIETA,40779
EDYTA,KOBIETA,40209
HANNA,KOBIETA,38371
BOGUMIŁA,KOBIETA,37925
LIDIA,KOBIETA,37766
CECYLIA,KOBIETA,36456
EWELINA,KOBIETA,36441
HENRYKA,KOBIETA,35397
KLAUDIA,KOBIETA,34347
ANETA,KOBIETA,33168
SABINA,KOBIETA,33048
MARIOLA,KOBIETA,32852
CZESŁAWA,KOBIETA,32378
REGINA,KOBIETA,32359
KAMILA,KOBIETA,31459
MIROSŁAWA,KOBIETA,30359
MICHALINA,KOBIETA,28799
ALINA,KOBIETA,28634
ROZALIA,KOBIETA,28578
OLIWIA,KOBIETA,28472
BOGUSŁAWA,KOBIETA,26460
DARIA,KOBIETA,24724
GERTRUDA,KOBIETA,24664
RÓŻA,KOBIETA,24389
LEOKADIA,KOBIETA,22972
MAJA,KOBIETA,21788
WIOLETTA,KOBIETA,21694
ANGELIKA,KOBIETA,20577
MARTYNA,KOBIETA,20159
ZDZISŁAWA,KOBIETA,18968
