IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,852708
PIOTR,MĘŻCZYZNA,678083
STANISŁAW,MĘŻCZYZNA,635555
JÓZEF,MĘŻCZYZNA,574037
ANDRZEJ,MĘŻCZYZNA,490676
PAWEŁ,MĘŻCZYZNA,452546
KRZYSZTOF,MĘŻCZYZNA,353438
ADAM,MĘŻCZYZNA,328060
KAZIMIERZ,MĘŻCZYZNA,276678
MAREK,MĘŻCZYZNA,276246
TOMASZ,MĘŻCZYZNA,274349
MICHAŁ,MĘŻCZYZNA,269386
JERZY,MĘŻCZYZNA,257805
MARIAN,MĘŻCZYZNA,238739
ANTONI,MĘŻCZYZNA,232764
FRANCISZEK,MĘŻCZYZNA,230284
TADEUSZ,MĘŻCZYZNA,227983
WOJCIECH,MĘŻCZYZNA,227972
GRZEGORZ,MĘŻCZYZNA,216622
MARCIN,MĘŻCZYZNA,201562
ŁUKASZ,MĘŻCZYZNA,177220
HENRYK,MĘŻCZYZNA,168396
ZBIGNIEW,MĘŻCZYZNA,167391
WŁADYSŁAW,MĘŻCZYZNA,163779
RYSZARD,MĘŻCZYZNA,163318
JAKUB,MĘŻCZYZNA,144948
ROBERT,MĘŻCZYZNA,139738
JACEK,MĘŻCZYZNA,137810
JANUSZ,MĘŻCZYZNA,132517
KAROL,MĘŻCZYZNA,123890
MATEUSZ,MĘŻCZYZNA,122378
MACIEJ,MĘŻCZYZNA,120557
ROMAN,MĘŻCZYZNA,116623
STEFAN,MĘŻCZYZNA,112837
ALEKSANDER,MĘŻCZYZNA,104837
MARIUSZ,MĘŻCZYZNA,104253
RAFAŁ,MĘŻCZYZNA,100978
EDWARD,MĘŻCZYZNA,99126
MIECZYSŁAW,MĘŻCZYZNA,97491
DARIUSZ,MĘŻCZYZNA,95866
SEBASTIAN,MĘŻCZYZNA,86864
MIROSŁAW,MĘŻCZYZNA,80523
CZESŁAW,MĘŻCZYZNA,79312
WIESŁAW,MĘŻCZYZNA,77371
ZDZISŁAW,MĘŻCZYZNA,76445
ZYGMUNT,MĘŻCZYZNA,73793
ARTUR,MĘŻCZYZNA,73413
KAMIL,MĘŻCZYZNA,69916
SŁAWOMIR,MĘŻCZYZNA,68014
MIKOŁAJ,MĘŻCZYZNA,67710
LESZEK,MĘŻCZYZNA,64980
SZYMON,MĘŻCZYZNA,64972
BOGDAN,MĘŻCZYZNA,64778
DAWID,MĘŻCZYZNA,64363
DANIEL,MĘŻCZYZNA,64207
JAROSŁAW,MĘŻCZYZNA,62567
EUGENIUSZ,MĘŻCZYZNA,61195
DOMINIK,MĘŻCZYZNA,60420
WALDEMAR,MĘŻCZYZNA,59679
WIKTOR,MĘŻCZYZNA,59135
DAMIAN,MĘŻCZYZNA,53118
PATRYK,MĘŻCZYZNA,52870
SYLWESTER,MĘŻCZYZNA,52099
KONRAD,MĘŻCZYZNA,48023
PRZEMYSŁAW,MĘŻCZYZNA,47228
BRONISŁAW,MĘŻCZYZNA,45463
BOLESŁAW,MĘŻCZYZNA,44796
BOGUSŁAW,MĘŻCZYZNA,44673
WACŁAW,MĘŻCZYZNA,43052
SZCZEPAN,MĘŻCZYZNA,41560
ARKADIUSZ,MĘŻCZYZNA,41468
LEON,MĘŻCZYZNA,40138
WŁODZIMIERZ,MĘŻCZYZNA,39887
KACPER,MĘŻCZYZNA,39682
WITOLD,MĘŻCZYZNA,38563
BARTŁOMIEJ,MĘŻCZYZNA,37283
IGNACY,MĘŻCZYZNA,36956
LUDWIK,MĘŻCZYZNA,34800
ZENON,MĘŻCZYZNA,34326
KRYSTIAN,MĘŻCZYZNA,34157
FILIP,MĘŻCZYZNA,33651
MAKSYMILIAN,MĘŻCZYZNA,33470
IRENEUSZ,MĘŻCZYZNA,33057
ADRIAN,MĘŻCZYZNA,32973
JULIAN,MĘŻCZYZNA,32231
FELIKS,MĘŻCZYZNA,30135
BARTOSZ,MĘŻCZYZNA,28399
BERNARD,MĘŻCZYZNA,26801
HUBERT,MĘŻCZYZNA,25844
EDMUND,MĘŻCZYZNA,23776
WINCENTY,MĘŻCZYZNA,23262
ALOJZY,MĘŻCZYZNA,23090
RADOSŁAW,MĘŻCZYZNA,22911
GABRIEL,MĘŻCZYZNA,22256
LUCJAN,MĘŻCZYZNA,20117
CEZARY,MĘŻCZYZNA,19460
LECH,MĘŻCZYZNA,18863
WALENTY,MĘŻCZYZNA,17869
NORBERT,MĘŻCZYZNA,17322
EMIL,MĘŻCZYZNA,15054
BOGUMIŁ,MĘŻCZYZNA,14414
TEODOR,MĘŻCZYZNA,14049
OSKAR,MĘŻCZYZNA,13271
BŁAŻEJ,MĘŻCZYZNA,12714
AUGUSTYN,MĘŻCZYZNA,12489
MARIA,MĘŻCZYZNA,12027
ROMUALD,MĘŻCZYZNA,11863
SEWERYN,MĘŻCZYZNA,11788
ALFRED,MĘŻCZYZNA,11716
BENEDYKT,MĘŻCZYZNA,11594
FLORIAN,MĘŻCZYZNA,10847
GERARD,MĘŻCZYZNA,10527
JOACHIM,MĘŻCZYZNA,10514
KONSTANTY,MĘŻCZYZNA,10357
IGOR,MĘŻCZYZNA,10349
LEONARD,MĘŻCZYZNA,9643
MIŁOSZ,MĘŻCZYZNA,9478
ERYK,MĘŻCZYZNA,9346
JULIUSZ,MĘŻCZYZNA,8994
ALBERT,MĘŻCZYZNA,8804
WAWRZYNIEC,MĘŻCZYZNA,8697
NIKODEM,MĘŻCZYZNA,7818
TEOFIL,MĘŻCZYZNA,7782
MARCEL,MĘŻCZYZNA,7302
OLIWIER,MĘŻCZYZNA,6995
WILHELM,MĘŻCZYZNA,6641
RUDOLF,MĘŻCZYZNA,6544
REMIGIUSZ,MĘŻCZYZNA,6513
ERNEST,MĘŻCZYZNA,6478
KSAWERY,MĘŻCZYZNA,6389
LESŁAW,MĘŻCZYZNA,6219
HIERONIM,MĘŻCZYZNA,6168
ADOLF,MĘŻCZYZNA,6076
KLEMENS,MĘŻCZYZNA,5998
LEOPOLD,MĘŻCZYZNA,5990
KAJETAN,MĘŻCZYZNA,5934
ALFONS,MĘŻCZYZNA,5887
RAJMUND,MĘŻCZYZNA,5647
ALAN,MĘŻCZYZNA,5633
BRUNON,MĘŻCZYZNA,5621
IZYDOR,MĘŻCZYZNA,5413
FABIAN,MĘŻCZYZNA,5397
EMANUEL,MĘŻCZYZNA,5157
GUSTAW,MĘŻCZYZNA,4868
FRYDERYK,MĘŻCZYZNA,4782
MARCELI,MĘŻCZYZNA,4781
ROCH,MĘŻCZYZNA,4725
ALBIN,MĘŻCZYZNA,4721
TYMOTEUSZ,MĘŻCZYZNA,4654
WALERIAN,MĘŻCZYZNA,4569
CYPRIAN,MĘŻCZYZNA,4111
KLAUDIUSZ,MĘŻCZYZNA,3750
ALEXANDER,MĘŻCZYZNA,3680
ZYGFRYD,MĘŻCZYZNA,3637
OLAF,MĘŻCZYZNA,3580
GRACJAN,MĘŻCZYZNA,3363
BOHDAN,MĘŻCZYZNA,3301
AUGUST,MĘŻCZYZNA,2977
ALEKSY,MĘŻCZYZNA,2975
MICHAEL,MĘŻCZYZNA,2947
BORYS,MĘŻCZYZNA,2754
TOBIASZ,MĘŻCZYZNA,2643
WALTER,MĘŻCZYZNA,2631
DAVID,MĘŻCZYZNA,2616
BRUNO,MĘŻCZYZNA,2606
ERWIN,MĘŻCZYZNA,2563
FERDYNAND,MĘŻCZYZNA,2553
BENIAMIN,MĘŻCZYZNA,2535
KORNEL,MĘŻCZYZNA,2457
JĘDRZEJ,MĘŻCZYZNA,2419
JOHN,MĘŻCZYZNA,2386
SAMUEL,MĘŻCZYZNA,2366
OLGIERD,MĘŻCZYZNA,2318
NATAN,MĘŻCZYZNA,2300
BONIFACY,MĘŻCZYZNA,2299
PAUL,MĘŻCZYZNA,2298
SERGIUSZ,MĘŻCZYZNA,2259
ŁUCJAN,MĘŻCZYZNA,2178
HERBERT,MĘŻCZYZNA,2165
PETER,MĘŻCZYZNA,2143
AMADEUSZ,MĘŻCZYZNA,2094
LONGIN,MĘŻCZYZNA,2078
MAURYCY,MĘŻCZYZNA,2045
JACENTY,MĘŻCZYZNA,2018
MARTIN,MĘŻCZYZNA,2002
KUBA,MĘŻCZYZNA,1979
EMILIAN,MĘŻCZYZNA,1919
JOSEPH,MĘŻCZYZNA,1851
ROLAND,MĘŻCZYZNA,1845
JAMES,MĘŻCZYZNA,1844
TYMON,MĘŻCZYZNA,1725
DIONIZY,MĘŻCZYZNA,1718
THOMAS,MĘŻCZYZNA,1712
IWO,MĘŻCZYZNA,1701
MIESZKO,MĘŻCZYZNA,1637
EDWIN,MĘŻCZYZNA,1633
ARNOLD,MĘŻCZYZNA,1561
ARIEL,MĘŻCZYZNA,1554
GINTER,MĘŻCZYZNA,1552
WIT,MĘŻCZYZNA,1550
TYTUS,MĘŻCZYZNA,1524
IDZI,MĘŻCZYZNA,1501
ZIEMOWIT,MĘŻCZYZNA,1469
WERNER,MĘŻCZYZNA,1455
HERMAN,MĘŻCZYZNA,1406
JEREMI,MĘŻCZYZNA,1404
BOŻYDAR,MĘŻCZYZNA,1384
ELIGIUSZ,MĘŻCZYZNA,1380
EUZEBIUSZ,MĘŻCZYZNA,1372
KASPER,MĘŻCZYZNA,1365
HIPOLIT,MĘŻCZYZNA,1343
JOSEF,MĘŻCZYZNA,1315
DORIAN,MĘŻCZYZNA,1284
PATRICK,MĘŻCZYZNA,1273
HELMUT,MĘŻCZYZNA,1252
OLIVIER,MĘŻCZYZNA,1198
ANTHONY,MĘŻCZYZNA,1198
